DATE,income
1/1/1996,55394
2/1/1996,0
3/1/1996,0
4/1/1996,0
5/1/1996,0
6/1/1996,0
7/1/1996,0
8/1/1996,0
9/1/1996,0
10/1/1996,0
11/1/1996,0
12/1/1996,0
1/1/1997,56533
2/1/1997,0
3/1/1997,0
4/1/1997,0
5/1/1997,0
6/1/1997,0
7/1/1997,0
8/1/1997,0
9/1/1997,0
10/1/1997,0
11/1/1997,0
12/1/1997,0
1/1/1998,58612
2/1/1998,0
3/1/1998,0
4/1/1998,0
5/1/1998,0
6/1/1998,0
7/1/1998,0
8/1/1998,0
9/1/1998,0
10/1/1998,0
11/1/1998,0
12/1/1998,0
1/1/1999,60062
2/1/1999,0
3/1/1999,0
4/1/1999,0
5/1/1999,0
6/1/1999,0
7/1/1999,0
8/1/1999,0
9/1/1999,0
10/1/1999,0
11/1/1999,0
12/1/1999,0
1/1/2000,59938
2/1/2000,0
3/1/2000,0
4/1/2000,0
5/1/2000,0
6/1/2000,0
7/1/2000,0
8/1/2000,0
9/1/2000,0
10/1/2000,0
11/1/2000,0
12/1/2000,0
1/1/2001,58609
2/1/2001,0
3/1/2001,0
4/1/2001,0
5/1/2001,0
6/1/2001,0
7/1/2001,0
8/1/2001,0
9/1/2001,0
10/1/2001,0
11/1/2001,0
12/1/2001,0
1/1/2002,57947
2/1/2002,0
3/1/2002,0
4/1/2002,0
5/1/2002,0
6/1/2002,0
7/1/2002,0
8/1/2002,0
9/1/2002,0
10/1/2002,0
11/1/2002,0
12/1/2002,0
1/1/2003,57875
2/1/2003,0
3/1/2003,0
4/1/2003,0
5/1/2003,0
6/1/2003,0
7/1/2003,0
8/1/2003,0
9/1/2003,0
10/1/2003,0
11/1/2003,0
12/1/2003,0
1/1/2004,57674
2/1/2004,0
3/1/2004,0
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,0
12/1/2004,0
1/1/2005,58291
2/1/2005,0
3/1/2005,0
4/1/2005,0
5/1/2005,0
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0
1/1/2006,58746
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0
12/1/2006,0
1/1/2007,59534
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,57412
2/1/2008,0
3/1/2008,0
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0
12/1/2008,0
1/1/2009,57010
2/1/2009,0
3/1/2009,0
4/1/2009,0
5/1/2009,0
6/1/2009,0
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0
11/1/2009,0
12/1/2009,0
1/1/2010,55520
2/1/2010,0
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,0
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,0
12/1/2010,0
