DATE,OMBLCBM027SBOG
10/1/1996,29.669
11/1/1996,28.9157
12/1/1996,27.6591
1/1/1997,26.7078
2/1/1997,25.3556
3/1/1997,24.9392
4/1/1997,25.5656
5/1/1997,26.3344
6/1/1997,25.2845
7/1/1997,23.7034
8/1/1997,23.259
9/1/1997,23.4223
10/1/1997,22.7595
11/1/1997,22.2888
12/1/1997,22.0518
1/1/1998,23.6727
2/1/1998,26.1568
3/1/1998,25.3791
4/1/1998,24.5064
5/1/1998,24.2076
6/1/1998,23.9861
7/1/1998,26.28
8/1/1998,27.0066
9/1/1998,27.7298
10/1/1998,29.8326
11/1/1998,31.4477
12/1/1998,32.7193
1/1/1999,35.461
2/1/1999,36.3631
3/1/1999,36.4952
4/1/1999,35.691
5/1/1999,36.3498
6/1/1999,37.0073
7/1/1999,36.7023
8/1/1999,37.3575
9/1/1999,36.2236
10/1/1999,35.693
11/1/1999,35.7008
12/1/1999,35.6846
1/1/2000,37.3963
2/1/2000,34.118
3/1/2000,34.3113
4/1/2000,35.8143
5/1/2000,36.9808
6/1/2000,37.7938
7/1/2000,38.3504
8/1/2000,40.5881
9/1/2000,42.3303
10/1/2000,43.7075
11/1/2000,44.4639
12/1/2000,44.979
1/1/2001,41.6081
2/1/2001,45.5495
3/1/2001,47.7014
4/1/2001,50.4182
5/1/2001,50.9153
6/1/2001,51.4987
7/1/2001,55.0795
8/1/2001,53.7766
9/1/2001,54.8278
10/1/2001,55.8581
11/1/2001,55.3975
12/1/2001,59.1801
1/1/2002,62.8222
2/1/2002,63.238
3/1/2002,61.3989
4/1/2002,58.8005
5/1/2002,58.3662
6/1/2002,59.4299
7/1/2002,59.556
8/1/2002,59.8622
9/1/2002,60.991
10/1/2002,64.2501
11/1/2002,64.4276
12/1/2002,63.8454
1/1/2003,64.5204
2/1/2003,64.5277
3/1/2003,65.2594
4/1/2003,67.2837
5/1/2003,68.6112
6/1/2003,70.1586
7/1/2003,72.8721
8/1/2003,74.6522
9/1/2003,74.5172
10/1/2003,73.5015
11/1/2003,73.6422
12/1/2003,75.5692
1/1/2004,76.8937
2/1/2004,78.9908
3/1/2004,80.4327
4/1/2004,79.6184
5/1/2004,78.8529
6/1/2004,80.3682
7/1/2004,82.1116
8/1/2004,84.5743
9/1/2004,88.1507
10/1/2004,90.9217
11/1/2004,93.2803
12/1/2004,96.5129
1/1/2005,98.2389
2/1/2005,102.7364
3/1/2005,104.3268
4/1/2005,104.135
5/1/2005,109.4405
6/1/2005,112.3765
7/1/2005,113.7529
8/1/2005,115.0259
9/1/2005,116.2708
10/1/2005,117.3437
11/1/2005,117.6324
12/1/2005,115.8034
1/1/2006,115.1635
2/1/2006,115.4302
3/1/2006,116.3054
4/1/2006,120.1901
5/1/2006,121.659
6/1/2006,123.5044
7/1/2006,123.8676
8/1/2006,123.7084
9/1/2006,123.1976
10/1/2006,123.902
11/1/2006,120.884
12/1/2006,124.1912
1/1/2007,128.8156
2/1/2007,132.8876
3/1/2007,139.4093
4/1/2007,151.7215
5/1/2007,149.9021
6/1/2007,151.9101
7/1/2007,143.9874
8/1/2007,147.4312
9/1/2007,151.845
10/1/2007,160.0813
11/1/2007,172.0335
12/1/2007,185.2851
1/1/2008,194.3117
2/1/2008,190.5886
3/1/2008,187.6092
4/1/2008,198.1716
5/1/2008,199.3041
6/1/2008,200.6711
7/1/2008,205.6323
8/1/2008,197.5043
9/1/2008,195.0422
10/1/2008,194.7822
11/1/2008,172.893
12/1/2008,162.6855
1/1/2009,166.8407
2/1/2009,166.1123
3/1/2009,161.9368
4/1/2009,165.1541
5/1/2009,175.2851
6/1/2009,177.8074
7/1/2009,179.9463
8/1/2009,180.8522
9/1/2009,182.4342
10/1/2009,180.1962
11/1/2009,180.1041
12/1/2009,179.1217
1/1/2010,178.1297
2/1/2010,175.6561
3/1/2010,170.9946
4/1/2010,160.1371
5/1/2010,154.5157
6/1/2010,149.9899
7/1/2010,147.5531
8/1/2010,145.351
9/1/2010,141.5665
10/1/2010,139.1652
11/1/2010,137.3786
12/1/2010,132.283
1/1/2011,128.6938
2/1/2011,128.84
3/1/2011,131.3218
4/1/2011,125.3069
5/1/2011,124.4506
6/1/2011,121.5904
7/1/2011,114.9746
8/1/2011,115.1738
9/1/2011,114.578
10/1/2011,115.2193
11/1/2011,114.1767
12/1/2011,113.3912
1/1/2012,111.8157
2/1/2012,112.4713
3/1/2012,110.0131
4/1/2012,114.1506
5/1/2012,111.6553
6/1/2012,112.9367
7/1/2012,114.0099
8/1/2012,115.4289
9/1/2012,116.135
10/1/2012,116.161
11/1/2012,119.4471
12/1/2012,119.5399
1/1/2013,119.236
2/1/2013,119.3807
3/1/2013,119.0683
4/1/2013,118.6429
5/1/2013,119.5111
6/1/2013,119.5631
7/1/2013,120.3903
8/1/2013,122.2647
9/1/2013,120.6036
10/1/2013,119.4496
11/1/2013,119.6118
12/1/2013,118.7812
1/1/2014,118.493
2/1/2014,117.3168
3/1/2014,116.4395
4/1/2014,115.1865
5/1/2014,112.9324
6/1/2014,112.4516
7/1/2014,111.7974
