DATE,mdebt
1/1/1997,544920
2/1/1997,544920
3/1/1997,544920
4/1/1997,552857
5/1/1997,552857
6/1/1997,552857
7/1/1997,587976
8/1/1997,587976
9/1/1997,587976
10/1/1997,578185
11/1/1997,578185
12/1/1997,578185
1/1/1998,587651
2/1/1998,587651
3/1/1998,587651
4/1/1998,598567
5/1/1998,598567
6/1/1998,598567
7/1/1998,611674
8/1/1998,611674
9/1/1998,611674
10/1/1998,629454
11/1/1998,629454
12/1/1998,629454
1/1/1999,632920
2/1/1999,632920
3/1/1999,632920
4/1/1999,642921
5/1/1999,642921
6/1/1999,642921
7/1/1999,654996
8/1/1999,654996
9/1/1999,654996
10/1/1999,663033
11/1/1999,663033
12/1/1999,663033
1/1/2000,667217
2/1/2000,667217
3/1/2000,667217
4/1/2000,686557
5/1/2000,686557
6/1/2000,686557
7/1/2000,699561
8/1/2000,699561
9/1/2000,699561
10/1/2000,710040
11/1/2000,710040
12/1/2000,710040
1/1/2001,722883
2/1/2001,722883
3/1/2001,722883
4/1/2001,745735
5/1/2001,745735
6/1/2001,745735
7/1/2001,765324
8/1/2001,765324
9/1/2001,765324
10/1/2001,754656
11/1/2001,754656
12/1/2001,754656
1/1/2002,760971
2/1/2002,760971
3/1/2002,760971
4/1/2002,784449
5/1/2002,784449
6/1/2002,784449
7/1/2002,818293
8/1/2002,818293
9/1/2002,818293
10/1/2002,858483
11/1/2002,858483
12/1/2002,858483
1/1/2003,856768
2/1/2003,856768
3/1/2003,856768
4/1/2003,907444
5/1/2003,907444
6/1/2003,907444
7/1/2003,936630
8/1/2003,936630
9/1/2003,936630
10/1/2003,954812
11/1/2003,954812
12/1/2003,954812
1/1/2004,986801
2/1/2004,986801
3/1/2004,986801
4/1/2004,1058606
5/1/2004,1058606
6/1/2004,1058606
7/1/2004,1113029
8/1/2004,1113029
9/1/2004,1113029
10/1/2004,1184357
11/1/2004,1184357
12/1/2004,1184357
1/1/2005,1205602
2/1/2005,1205602
3/1/2005,1205602
4/1/2005,1248215
5/1/2005,1248215
6/1/2005,1248215
7/1/2005,1296874
8/1/2005,1296874
9/1/2005,1296874
10/1/2005,1343124
11/1/2005,1343124
12/1/2005,1343124
1/1/2006,1370712
2/1/2006,1370712
3/1/2006,1370712
4/1/2006,1400472
5/1/2006,1400472
6/1/2006,1400472
7/1/2006,1435657
8/1/2006,1435657
9/1/2006,1435657
10/1/2006,1426668
11/1/2006,1426668
12/1/2006,1426668
1/1/2007,1433893
2/1/2007,1433893
3/1/2007,1433893
4/1/2007,1405677
5/1/2007,1405677
6/1/2007,1405677
7/1/2007,1410965
8/1/2007,1410965
9/1/2007,1410965
10/1/2007,1385894
11/1/2007,1385894
12/1/2007,1385894
1/1/2008,1363289
2/1/2008,1363289
3/1/2008,1363289
4/1/2008,1326163
5/1/2008,1326163
6/1/2008,1326163
7/1/2008,1302731
8/1/2008,1302731
9/1/2008,1302731
10/1/2008,1252421
11/1/2008,1252421
12/1/2008,1252421
1/1/2009,1219554
2/1/2009,1219554
3/1/2009,1219554
4/1/2009,1223451
5/1/2009,1223451
6/1/2009,1223451
7/1/2009,1219332
8/1/2009,1219332
9/1/2009,1219332
10/1/2009,1202870
11/1/2009,1202870
12/1/2009,1202870
1/1/2010,1207419
2/1/2010,1207419
3/1/2010,1207419
4/1/2010,1184710
5/1/2010,1184710
6/1/2010,1184710
7/1/2010,1186919
8/1/2010,1186919
9/1/2010,1186919
10/1/2010,1074047
11/1/2010,1074047
12/1/2010,1074047
